title;=>centrality;=>subs;=>views;=>comments;=>country;=>topics
QUEEN BEAST;=>1009.7800;=>1140000;=>105860796;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Food
Ballinger Family;=>1009.4200;=>1460000;=>506363653;=>0;=>null;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology)
THE WEISS LIFE;=>1009.1300;=>917000;=>344276778;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Hayley LeBlanc;=>1008.9000;=>1520000;=>106040590;=>0;=>US;=>https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Technology
Norris Nuts Squad;=>1008.6600;=>447000;=>24677930;=>0;=>AU;=>https://en.wikipedia.org/wiki/Technology,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Entertainment
Pantons Squad;=>1008.4900;=>2220000;=>444955791;=>0;=>US;=>https://en.wikipedia.org/wiki/Technology,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Our Family Nest;=>1008.3800;=>1180000;=>471286940;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Norris Nuts Gaming;=>1008.2200;=>1500000;=>311621960;=>0;=>AU;=>https://en.wikipedia.org/wiki/Simulation_video_game,https://en.wikipedia.org/wiki/Video_game_culture
JesssFam;=>1007.9400;=>1090000;=>404363392;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Tianne King;=>1007.7400;=>1680000;=>512411503;=>0;=>US;=>https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Hip_hop_music,https://en.wikipedia.org/wiki/Music,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Performing_arts,https://en.wikipedia.org/wiki/Hobby
Nelly Knows;=>1007.6700;=>186000;=>10620633;=>0;=>null;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Entertainment
The Royalty Family;=>1007.6300;=>9020000;=>1193746753;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Entertainment
All In The Foley Family;=>1007.3700;=>895000;=>148844813;=>0;=>US;=>https://en.wikipedia.org/wiki/Hobby,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
FatheringAutism;=>1006.9800;=>540000;=>132225633;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Food
The McClure Family;=>1006.7500;=>1610000;=>223823218;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology)
The Fishfam;=>1006.4000;=>4130000;=>775554758;=>0;=>US;=>https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
the johnson fam;=>1006.2400;=>1760000;=>550949301;=>0;=>US;=>https://en.wikipedia.org/wiki/Hobby,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
J House Vlogs;=>1005.9300;=>2130000;=>2321551403;=>0;=>null;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Bonnie Hoellein;=>1005.3800;=>1330000;=>728213050;=>0;=>US;=>https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
JustJordan33;=>1005.3600;=>2200000;=>742107580;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Food
8 Passengers;=>1005.1200;=>2440000;=>1119215293;=>0;=>US;=>https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Colleen Ballinger;=>1004.9400;=>8610000;=>1696902023;=>0;=>null;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Entertainment
Playtime with Jersey;=>1004.5900;=>136000;=>14060138;=>0;=>US;=>https://en.wikipedia.org/wiki/Hobby,https://en.wikipedia.org/wiki/Health,https://en.wikipedia.org/wiki/Knowledge,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
GamerGirl;=>1004.4200;=>4720000;=>2014070381;=>0;=>CA;=>https://en.wikipedia.org/wiki/Simulation_video_game,https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Role-playing_video_game
TWO SUPER SISTERS;=>1003.7800;=>3970000;=>1477614270;=>0;=>CA;=>https://en.wikipedia.org/wiki/Pet,https://en.wikipedia.org/wiki/Hobby,https://en.wikipedia.org/wiki/Technology,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Channels/UC_Oldbo17VCNxP8KK4umMdw;=>1003.4700;=>0;=>0;=>0;=>null;=>null
The Crosbys;=>1002.6600;=>3060000;=>565780134;=>0;=>US;=>https://en.wikipedia.org/wiki/Music,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Daily Davidsons;=>1002.5500;=>272000;=>77578398;=>0;=>null;=>https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Channels/UCagEKNhiOw-BoD_qr1UDBKw;=>1001.7600;=>1;=>0;=>0;=>null;=>null
Channels/UCm8m2F5zHm7_NydFoAvwhvA;=>1001.6400;=>2;=>0;=>0;=>null;=>null
Jenna Davis;=>1001.3300;=>700000;=>41607295;=>0;=>null;=>https://en.wikipedia.org/wiki/Music,https://en.wikipedia.org/wiki/Pop_music,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Trinity and Beyond;=>1001.2500;=>5600000;=>2698213992;=>0;=>US;=>https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Hobby,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Norris Nuts Do Stuff;=>1000.9500;=>1940000;=>527880616;=>0;=>AU;=>https://en.wikipedia.org/wiki/Entertainment
Channels/UC1lOIaFUx-_sOk0YwTM-5YQ;=>1000.7200;=>57;=>1002;=>0;=>null;=>null
Channels/UCr5yhG0n6Xu-WWmxoROcknw;=>1000.6400;=>2;=>69;=>0;=>null;=>null
Slyfox Family;=>1000.4600;=>1680000;=>396752527;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology)
FGTeeV;=>999.8100;=>15800000;=>16178683989;=>0;=>US;=>https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Video_game_culture
Tannerites;=>999.7800;=>1940000;=>536486896;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Entertainment
Piper Rockelle;=>999.3700;=>5520000;=>930442947;=>0;=>US;=>https://en.wikipedia.org/wiki/Pop_music,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Music
Its Minai;=>999.1300;=>271000;=>29345334;=>0;=>GB;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology)
SmellyBellyTV;=>998.7900;=>3210000;=>1330965939;=>0;=>US;=>https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Gavin Magnus;=>998.7300;=>2820000;=>376977558;=>0;=>US;=>https://en.wikipedia.org/wiki/Hip_hop_music,https://en.wikipedia.org/wiki/Pop_music,https://en.wikipedia.org/wiki/Music
The Ohana Adventure;=>998.0800;=>3250000;=>1015767858;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Entertainment
Yawi Vlogs;=>998.0500;=>670000;=>209411778;=>0;=>US;=>https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Cute Girls Hairstyles;=>997.7500;=>5660000;=>1296368484;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology)
The ACE Family;=>997.6600;=>19000000;=>3894003111;=>0;=>null;=>https://en.wikipedia.org/wiki/Health,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Knowledge,https://en.wikipedia.org/wiki/Entertainment
Channels/UCjFtgN46IMHCSBBaIWz0X8Q;=>996.3600;=>0;=>0;=>0;=>null;=>null
Channels/UCvEU76KiLhfz1pumY-9b91Q;=>996.2000;=>10;=>147;=>0;=>null;=>null
Kids Fun TV;=>995.8100;=>4260000;=>1238009863;=>0;=>US;=>https://en.wikipedia.org/wiki/Entertainment
Lilliana Ketchman;=>994.8700;=>1190000;=>101577097;=>0;=>US;=>https://en.wikipedia.org/wiki/Hobby,https://en.wikipedia.org/wiki/Music,https://en.wikipedia.org/wiki/Performing_arts,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
The Mikesell Family;=>992.8600;=>124000;=>16926800;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Familia Diamond;=>992.0100;=>6320000;=>953652962;=>0;=>null;=>https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Pet,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
THE SHUMWAY SHOW;=>991.3600;=>266000;=>47824572;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Entertainment
Channels/UCy9peaUQeLlsQgy-dzpGj7g;=>990.1000;=>0;=>0;=>0;=>null;=>null
It's R Life;=>989.7800;=>1260000;=>192499266;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Technology
Sam and the Fam;=>989.6200;=>882000;=>1179591;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Health,https://en.wikipedia.org/wiki/Knowledge
Channels/UCsTH2WDxegQeRqRoey7dDNQ;=>989.0700;=>4;=>7;=>0;=>null;=>null
RonaldOMG;=>988.9900;=>3570000;=>1417847637;=>0;=>CA;=>https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Action_game
Channels/UC-pM-4DUwF6CPC0EmSLUpqg;=>988.5700;=>0;=>0;=>0;=>null;=>null
Channels/UCYyoLM0jPwLJYwtS7PO0PzA;=>988.3300;=>367;=>14920;=>0;=>null;=>null
THIS IS L&S;=>988.0100;=>3090000;=>456073349;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Channels/UC7E9fdUtSQiqeMncM2irpAA;=>987.7600;=>0;=>0;=>0;=>null;=>null
The Edwards Family;=>986.8300;=>1800000;=>205151047;=>0;=>US;=>https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Health,https://en.wikipedia.org/wiki/Knowledge,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
The Tube Family;=>986.2800;=>3760000;=>2355135938;=>0;=>US;=>https://en.wikipedia.org/wiki/Tourism,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Hobby
Channels/UChhK72jfNd6pqtJKtF7E2yw;=>986.0500;=>14;=>0;=>0;=>null;=>null
Channels/UCkKzbQTssl1VtUyQqUutwyA;=>985.1200;=>0;=>0;=>0;=>null;=>null
Channels/UCfRBoK09B_gK5oq8F164grQ;=>984.5800;=>24;=>0;=>0;=>null;=>null
Team2Moms;=>983.6600;=>371000;=>47119874;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Channels/UCIOiUgY6iMdea_OvxV2dYAA;=>983.0200;=>1;=>82;=>0;=>null;=>null
Channels/UCQr3boyxB45DLpcRf7XHIbw;=>983.0100;=>6;=>75;=>0;=>null;=>null
Ninja Kidz TV;=>980.4000;=>9660000;=>3724630490;=>0;=>US;=>https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film
Channels/UCZBEEtCarImDjRuGKPziVYg;=>979.8800;=>0;=>0;=>0;=>null;=>null
Shonduras;=>979.8600;=>2400000;=>1558480599;=>0;=>null;=>https://en.wikipedia.org/wiki/Hobby,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Channels/UCm2Y3GlR8VXp32wSrbvBffA;=>979.2400;=>0;=>0;=>0;=>null;=>null
Channels/UCG1DdVXSG2ZgFl6bHabpWkA;=>978.5900;=>3;=>0;=>0;=>null;=>null
Channels/UCEZ4ERH1m6o6E07gkek-JXQ;=>978.3300;=>0;=>95;=>0;=>null;=>null
Earls Family Vlogs;=>978.2000;=>518000;=>104990193;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Channels/UCxU0_06uXL8XTA1QCXTXnbQ;=>977.6900;=>5;=>0;=>0;=>null;=>null
Channels/UCEBdX-YUDQfPdnUmPrtp-BA;=>977.6800;=>0;=>0;=>0;=>null;=>null
Channels/UCGrF8HtMiDVGWfVEa91Q6QA;=>977.3100;=>5;=>0;=>0;=>null;=>null
Channels/UCFe2gCVzZZBI0KhBWumN7tA;=>976.8000;=>1;=>0;=>0;=>null;=>null
Channels/UCjdqYHTlR6Iffd1WGZAR6jA;=>976.6700;=>116;=>8626;=>0;=>null;=>null
Channels/UCU1sj-Bhq0554qu8YXSUMUA;=>976.3100;=>1;=>3;=>0;=>null;=>null
Channels/UCd6egmWjy0o8ztQ_tknOpmQ;=>975.6900;=>7;=>1320;=>0;=>null;=>null
This Gathered Nest;=>974.6400;=>507000;=>77594936;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Channels/UCOh-NvHGEhQ0djtf5QpBo9Q;=>974.2900;=>11;=>184;=>0;=>null;=>null
Channels/UChYrL0N1ecwTDsJ7XVVGOOA;=>973.9800;=>5;=>0;=>0;=>null;=>null
That YouTub3 Family - The Adventurers;=>973.7300;=>3550000;=>1918657488;=>0;=>US;=>https://en.wikipedia.org/wiki/Technology,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Lily Petals 릴리가족;=>973.5000;=>643000;=>113319850;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Channels/UCswRpeZumF9IAdoXxmy1xGQ;=>973.0500;=>0;=>59;=>0;=>null;=>null
Ellarie;=>972.4800;=>593000;=>29732709;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Channels/UC838WlE5pkD_-YNX-_TbeLQ;=>970.0900;=>4;=>0;=>0;=>null;=>null
Fun Family Three Ava Isla and Olivia;=>969.7400;=>1420000;=>1321782575;=>0;=>US;=>https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Hobby
Family Fizz;=>968.2300;=>2350000;=>599233468;=>0;=>US;=>https://en.wikipedia.org/wiki/Knowledge,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Health
Channels/UCKp95Y6EhyNCsv7ziP8FRAQ;=>968.0500;=>1;=>0;=>0;=>null;=>null
Bratayley;=>967.8700;=>7310000;=>3841249507;=>0;=>US;=>https://en.wikipedia.org/wiki/Technology,https://en.wikipedia.org/wiki/Music,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Adam B;=>967.3400;=>2940000;=>400847663;=>0;=>GB;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Entertainment
Channels/UC7IKaOoRcpyKJ2FaPHbUBrA;=>967.0800;=>363;=>30677;=>0;=>null;=>null
Channels/UCYFjU04v3BXD0RS-6n3s4Ng;=>967.0500;=>1;=>29;=>0;=>null;=>null
Channels/UCJTV-w_4U9QKr6Qq_P2ODxw;=>965.6500;=>1;=>0;=>0;=>null;=>null
Channels/UC-HVDNTsH7AbiR_1oT01R6Q;=>965.4100;=>45;=>345;=>0;=>null;=>null
Channels/UCcJlpA2urRNAp--kTpmzr9g;=>965.2600;=>0;=>0;=>0;=>null;=>null
Carl & Jinger;=>964.5500;=>3150000;=>862216299;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Vehicle,https://en.wikipedia.org/wiki/Hobby
Channels/UCFw3dmKRVvKjqdz6UP20EKA;=>964.2900;=>0;=>0;=>0;=>null;=>null
Channels/UCHTTFlr398h3lOAzoJEAk-w;=>962.9800;=>7;=>2;=>0;=>null;=>null
Channels/UCRneYA-7r5YlAyKsR6nzVNA;=>962.8000;=>4;=>487;=>0;=>null;=>null
Channels/UCrungkNc7j6jGTfr1dU7tqA;=>962.5000;=>10;=>38;=>0;=>null;=>null
Channels/UCXjAB05_IQrZms1HvUxNgyg;=>962.3800;=>14;=>162;=>0;=>null;=>null
Channels/UCbDq3_TfnOI58zpGK475ahg;=>961.5800;=>1;=>0;=>0;=>null;=>null
Channels/UCHacnfSgdyKu0EmzAfi6MIQ;=>961.0500;=>4;=>505;=>0;=>null;=>null
Channels/UC0tPH3Il4XU4rvZZgLbVG3w;=>959.5400;=>2;=>0;=>0;=>null;=>null
DJ's Clubhouse;=>958.2400;=>1370000;=>189895710;=>0;=>US;=>https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Hobby
Channels/UCpm8dlD1Jc50VJwDjara2Eg;=>957.1200;=>0;=>116;=>0;=>null;=>null
Pranksters In Love FAMILY;=>955.8700;=>512000;=>109224405;=>0;=>US;=>https://en.wikipedia.org/wiki/Pet,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Technology,https://en.wikipedia.org/wiki/Food
Channels/UCcN-1HOwNwo4_MERv4BDEFg;=>954.9200;=>4;=>0;=>0;=>null;=>null
Channels/UCF7pn6Nh3hp7gT9PDIYIkXQ;=>954.7300;=>37;=>1817;=>0;=>null;=>null
Channels/UCAEjUj9aLRFqHm-aQHfS1Dw;=>954.7200;=>0;=>0;=>0;=>null;=>null
Brock and Boston;=>954.2200;=>346000;=>57650819;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology)
MessittTwins;=>954.0300;=>122000;=>16715879;=>0;=>US;=>https://en.wikipedia.org/wiki/Performing_arts,https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Hobby
Channels/UCXHEDaZi5iCe3YuSb51ssqg;=>953.6900;=>6;=>0;=>0;=>null;=>null
Channels/UCTsfSqu5iS5ww3O2CPV3_MQ;=>953.0800;=>2;=>0;=>0;=>null;=>null
Channels/UCJKPb3hPrTK563KmtCCagEQ;=>952.8000;=>0;=>0;=>0;=>null;=>null
Channels/UCNEx1-nz6dvwqeqyG2Jt-zA;=>951.9700;=>4;=>0;=>0;=>null;=>null
Annie Rose;=>951.0800;=>843000;=>131979589;=>0;=>US;=>https://en.wikipedia.org/wiki/Fashion,https://en.wikipedia.org/wiki/Technology,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
AprilJustinTV;=>950.2900;=>346000;=>110440836;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Technology
Channels/UCXvofd10HmPfnIu3V-PyfcQ;=>949.3800;=>3;=>12;=>0;=>null;=>null
Channels/UCAobsQgRF5I7yMoGp6ECyxQ;=>949.2700;=>2;=>39;=>0;=>null;=>null
Channels/UCNloTxKowMQYUl9mvcnrM4A;=>948.7400;=>3;=>0;=>0;=>null;=>null
Channels/UCz5ElPsueryab33kwNSI5jQ;=>948.3000;=>4;=>0;=>0;=>null;=>null
Channels/UCzUoFH9dDUn2TguFUXtNrfQ;=>947.5300;=>1;=>0;=>0;=>null;=>null
La Guardia Cross;=>945.8000;=>427000;=>91214709;=>0;=>US;=>https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Music
Channels/UCCedk0XeolxEGnvUWPAZ5Sw;=>945.1000;=>0;=>0;=>0;=>null;=>null
Channels/UCGwKXweZjylwFMqQjVqmRaQ;=>944.4300;=>2;=>0;=>0;=>null;=>null
DearNaptural85;=>944.1500;=>204000;=>40657817;=>0;=>null;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Channels/UCsfzq20MmtTCeG9KYFptECQ;=>943.7800;=>0;=>0;=>0;=>null;=>null
Channels/UC2NuNjGslXtMcsKiAVe0l9g;=>943.6300;=>16;=>41;=>0;=>null;=>null
Onyx Family;=>942.2800;=>2960000;=>1674125012;=>0;=>US;=>https://en.wikipedia.org/wiki/Music,https://en.wikipedia.org/wiki/Entertainment
Channels/UChA5p5qHwIW89XjoRsjxEkw;=>942.1900;=>12;=>759;=>0;=>null;=>null
Channels/UCLTiT1bxKVFxydZh-dJlWPw;=>941.5500;=>21;=>0;=>0;=>null;=>null
Channels/UCX40SwfJ_y-ntTyalYOe6wg;=>940.6000;=>0;=>34;=>0;=>null;=>null
R & L Life;=>939.7500;=>232000;=>25102712;=>0;=>US;=>https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Channels/UCccXQX_aYFhFSMlbEaGaHVw;=>938.7300;=>2;=>141;=>0;=>null;=>null
Channels/UCjFmJTZN-O319TIO9E3MuOw;=>938.3800;=>6;=>98;=>0;=>null;=>null
Channels/UC4qE8x91U1O8qg0hUS_3Z9w;=>938.1700;=>0;=>0;=>0;=>null;=>null
The Bucket List Family;=>937.6100;=>1100000;=>113220834;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Tourism
Channels/UCDDu6Vo1B8Vd3zpYe5Geo0A;=>936.0900;=>2;=>265;=>0;=>null;=>null
Channels/UCTVrwTYSwUwy4h0WWfewziA;=>934.8300;=>12;=>38;=>0;=>null;=>null
Channels/UCDKLyrR-3gorBRGripvidSg;=>932.7800;=>5;=>43;=>0;=>null;=>null
The Wee Family;=>932.7200;=>24700;=>2270590;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Knowledge,https://en.wikipedia.org/wiki/Health
Channels/UCDhFgT0xGcRZDFieBB-OHIA;=>931.3400;=>3;=>0;=>0;=>null;=>null
Channels/UCFoUovYlfk_Cn_9LTiRozFg;=>930.4400;=>2;=>0;=>0;=>null;=>null
Channels/UCg87AJX16Z6ljYFUftUQmyw;=>926.6800;=>0;=>0;=>0;=>null;=>null
Channels/UCpg9ItrvmkK3IRHv2DrkzyA;=>926.1100;=>85;=>691;=>0;=>null;=>null
The Kabs Family;=>925.7800;=>577000;=>82401151;=>0;=>GB;=>https://en.wikipedia.org/wiki/Hip_hop_music,https://en.wikipedia.org/wiki/Music,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Yasmyn Switzer;=>924.8100;=>834000;=>85669452;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Family Fun Pack;=>924.2800;=>9300000;=>13247103988;=>0;=>US;=>https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Tourism,https://en.wikipedia.org/wiki/Hobby,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Page Danielle;=>924.2100;=>91600;=>11286243;=>0;=>US;=>https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Hobby,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Knowledge,https://en.wikipedia.org/wiki/Health
Channels/UC8kw-SAscIcyuO15jxumGOA;=>924.0600;=>34;=>1768;=>0;=>null;=>null
The Ahern Family;=>921.6200;=>478000;=>82797310;=>0;=>PH;=>https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Channels/UC9mVMvqmcMF47CSBk_P9A6g;=>920.4600;=>0;=>0;=>0;=>null;=>null
Channels/UC7WlA5H3sbBwIulBD6_H0VA;=>919.2100;=>21;=>9008;=>0;=>null;=>null
Channels/UCHVGMw_P4v9FKhBSiYqNaxw;=>918.6400;=>23;=>1286;=>0;=>null;=>null
Channels/UCUqzNe9YreHm_SmVh_3ryPg;=>918.0600;=>9;=>895;=>0;=>null;=>null
Always Alyssa;=>917.9800;=>806000;=>335713649;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Hobby
Shot of The Yeagers;=>917.8600;=>4860000;=>2790867764;=>0;=>US;=>https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Hobby
Channels/UCCB-vgqnHlV8IwIWfJNIdWA;=>916.7000;=>0;=>37;=>0;=>null;=>null
Channels/UCsjRekzM4dPmvIOnvHMLljQ;=>916.5100;=>1;=>0;=>0;=>null;=>null
Channels/UC2QPMuGlazc_Xe05y1sl7Wg;=>916.0400;=>0;=>0;=>0;=>null;=>null
Channels/UCOZpeqo3JiZkzdNa36Ro_tA;=>915.8400;=>4;=>33;=>0;=>null;=>null
